Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
390 HK Equity,False,,2016-12-28,6.082,6.318,6.023,6.24,18741325.0,119160500.0,207939.4847,,4207.39,3874.79,6.2576,0.2043,0.17,10.472,,,,,1.613,,,
390 HK Equity,False,,2016-12-29,6.161,6.289,6.141,6.279,11584942.0,73537070.0,210451.4123,,4207.39,3874.79,6.2473,0.2568,,10.4987,,,,,1.6029,,,
390 HK Equity,False,,2016-12-30,6.309,6.368,6.24,6.279,8874810.0,56905860.0,211339.244,,4207.39,3874.79,6.3106,0.2096,,10.871,,,,,1.6029,,,
390 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,364409.0,,,,,7046.0,5.6089
390 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
390 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
390 HK Equity,False,,2017-01-03,6.24,6.328,6.151,6.24,6542388.0,41517080.0,212365.6113,,4207.39,3874.79,6.2454,0.2218,,10.818200000000001,,,,,1.613,7.026,,
390 HK Equity,False,,2017-01-04,6.309,6.436,6.279,6.407,17358081.0,112573100.0,219445.5286,,4207.39,3874.79,6.3826,0.2052,,11.0408,,,,,1.5709,7.026,,
390 HK Equity,False,,2017-01-05,6.486,6.496,6.3870000000000005,6.427,10505762.0,68801650.0,220722.3267,,4207.39,3874.79,6.4451,0.2085,,11.0184,,,,,1.5661,7.026,,
390 HK Equity,False,,2017-01-06,6.515,6.515,6.397,6.427,8028584.0,52510530.0,217054.9078,,4207.39,3874.79,6.4369,0.1875,,11.1093,,,,,1.5661,,,
390 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
390 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
