Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1398 HK Equity,False,,2016-12-28,4.241,4.345,4.222,4.307,295724899.0,1335498000.0,1703685.3886,,86794.047,78093.48,4.2846,0.2283,0.2,4.9844,,,,,6.3403,,,
1398 HK Equity,False,,2016-12-29,4.269,4.355,4.269,4.345,256920578.0,1172823000.0,1715079.2868,,86794.047,78093.48,4.3307,0.2341,,5.0095,,,,,6.2849,6.014,,
1398 HK Equity,False,,2016-12-30,4.355,4.44,4.355,4.411,316060717.0,1465400000.0,1732080.389,,86794.047,78093.48,4.3987,0.2228,,5.0794,,,,,6.1903,,,
1398 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,243014.0,,,,,55457.0,5.2853
1398 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
1398 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,5.989,,
1398 HK Equity,False,,2017-01-03,4.411,4.478,4.364,4.44,201930710.0,944993100.0,1738821.793,,86794.047,78093.48,4.4393,0.2178,,5.1194,,,,,6.1506,5.924,,
1398 HK Equity,False,,2017-01-04,4.44,4.468,4.392,4.411,214672371.0,1000038000.0,1744359.0439,,86794.047,78093.48,4.4191,0.2181,,5.0557,,,,,6.1903,5.892,,
1398 HK Equity,False,,2017-01-05,4.449,4.478,4.421,4.468,203393543.0,955516700.0,1759466.7934,,86794.047,78093.48,4.4579,0.2164,,5.0948,,,,,6.1115,5.906,,
1398 HK Equity,False,,2017-01-06,4.487,4.506,4.468,4.487,177906284.0,840429800.0,1750146.8527,,86794.047,78093.48,4.4818,0.2151,,5.1587,,,,,6.0856,5.8870000000000005,,
1398 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,5.888,,
1398 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
1398 HK Equity,False,,2017-01-09,4.478,4.506,4.421,4.44,209665142.0,985271400.0,1750976.1704,,86794.047,78093.48,4.4547,0.2192,0.2,5.1075,,,,,6.1506,5.888,,
1398 HK Equity,False,,2017-01-10,4.44,4.497,4.43,4.468,127979077.0,602860900.0,1755306.453,,86794.047,78093.48,4.4689,0.2148,,5.1336,,,,,6.1115,5.888,,
1398 HK Equity,False,,2017-01-11,4.497,4.525,4.478,4.516,216075152.0,1026630000.0,1763940.0155,,86794.047,78093.48,4.5077,0.2137,,5.1832,,,,,6.0473,5.888,,
1398 HK Equity,False,,2017-01-12,4.516,4.5440000000000005,4.497,4.525,141335191.0,673834800.0,1771356.0453,,86794.047,78093.48,4.5231,0.2171,,5.169,,,,,6.0346,,,
1398 HK Equity,False,,2017-01-13,4.5440000000000005,4.554,4.525,4.525,128123439.0,612488300.0,1774953.9702,,86794.047,78093.48,4.5352,0.2121,,5.1784,,,,,6.0346,5.888,,
1398 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,5.942,,
1398 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,5.922,,
