Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1052 HK Equity,False,,2016-12-28,4.532,4.5600000000000005,4.466,4.523,863840.0,4126457.0,8014.4477,,1673.162,657.622,4.5041,0.5518,0.53,12.1381,2622.0,,7.677,1989.333,6.4123,,,
1052 HK Equity,False,,2016-12-29,4.485,4.551,4.485,4.513,1187121.0,5687824.0,7997.716,,1673.162,657.622,4.524,0.4673,,12.0675,,,7.632,,6.4257,,,
1052 HK Equity,False,,2016-12-30,4.532,4.598,4.532,4.589,336000.0,1622420.0,8131.569,,1673.162,657.622,4.5602,0.5766,,7.4779,,,7.749,,6.3199,,,
1052 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,1285.115,,,,,569.198,5.428
1052 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-03,4.608,4.664,4.551,4.636,687070.0,3352052.0,8215.2272,,1673.162,657.622,4.6057,0.6143,,7.5656,,,7.84,,6.2556,,,
1052 HK Equity,False,,2017-01-04,4.617,4.796,4.617,4.796,2168600.0,10776090.0,8499.6648,,1673.162,657.622,4.7048,0.4334,,7.78,,,8.062,,6.0462,,,
1052 HK Equity,False,,2017-01-05,4.787,4.787,4.711,4.759,507400.0,2551738.0,8432.7383,,1673.162,657.622,4.7484,0.4687,,7.6795,,,7.958,,6.0942,,,
1052 HK Equity,False,,2017-01-06,4.796,4.796,4.636,4.664,281768.0,1404636.0,8265.422,,1673.162,657.622,4.7071,0.5819,,7.5892,,,7.864,,6.2176,,,
1052 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-09,4.891,4.891,4.664,4.674,204000.0,1026180.0,8282.1536,,1673.162,657.622,4.7619,0.9864,,7.6095,,,7.885,,6.205,,,
1052 HK Equity,False,,2017-01-10,4.693,4.768,4.645,4.655,374000.0,1847700.0,8248.6904,,1673.162,657.622,4.6646,0.3851,,7.569,,,7.843,,6.2302,,,
1052 HK Equity,False,,2017-01-11,4.683,4.711,4.645,4.645,805712.0,3987623.0,8231.9588,,1673.162,657.622,4.6729,0.3296,,7.5465,,,7.82,,6.2428,,,
1052 HK Equity,False,,2017-01-12,4.645,4.702,4.636,4.702,520000.0,2564210.0,8332.3485,,1673.162,657.622,4.6559,0.423,,7.6017,,,7.877,,6.1676,,,
1052 HK Equity,False,,2017-01-13,4.693,4.796,4.693,4.768,1258000.0,6318115.0,8449.4699,,1673.162,657.622,4.7636,0.4216,,7.7226,,,8.002,,6.0821,,,
1052 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-16,4.796,4.796,4.702,4.711,316172.0,1591285.0,8349.0801,,1673.162,657.622,4.7347,0.6386,,7.6259,,,7.902,,6.1553,,,
1052 HK Equity,False,,2017-01-17,4.721,4.787,4.711,4.768,546000.0,2749020.0,8449.4699,,1673.162,657.622,4.7537,0.3732,,7.6647,,,7.942,,6.0821,,,
1052 HK Equity,False,,2017-01-18,4.768,4.787,4.73,4.7780000000000005,817933.0,4121871.0,8466.2015,,1673.162,657.622,4.7581,0.2621,,7.6788,,,7.957,,6.0701,,,
1052 HK Equity,False,,2017-01-19,4.749,4.759,4.702,4.74,350000.0,1752560.0,8399.275,,1673.162,657.622,4.7276,0.8088,,7.6583,,,7.936,,6.1185,,,
1052 HK Equity,False,,2017-01-20,4.711,4.73,4.683,4.702,386000.0,1919700.0,8332.3485,,1673.162,657.622,4.6957,0.4803,,7.5875,,,7.862,,6.1676,,,
1052 HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-23,4.73,4.759,4.693,4.74,220030.0,1102523.0,8399.275,,1673.162,657.622,4.7316,0.6964,,7.6187000000000005,,,7.895,,6.1185,,,
1052 HK Equity,False,,2017-01-24,4.711,4.73,4.693,4.711,1348000.0,6736690.0,8349.0801,,1673.162,657.622,4.7147,0.2519,,7.5839,,,7.859,,6.1553,,,
1052 HK Equity,False,,2017-01-25,4.721,4.74,4.674,4.683,1159993.0,5763849.0,8298.8853,,1673.162,657.622,4.6922,0.3923,,7.5476,,,7.821,,6.1925,,,
1052 HK Equity,False,,2017-01-26,4.721,4.721,4.674,4.674,430000.0,2143140.0,8282.1536,,1673.162,657.622,4.7058,0.2486,,7.5461,,,7.819,,6.205,,,
1052 HK Equity,False,,2017-01-27,4.674,4.683,4.664,4.664,350000.0,1731480.0,8265.422,,1673.162,657.622,4.6709,0.2343,,7.5578,,,7.8309999999999995,,6.2176,,,
1052 HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-01,4.645,4.674,4.57,4.617,1024000.0,5010060.0,8181.7639,,1673.162,657.622,4.6186,0.6105,,7.4333,,,7.702,,6.2811,,,
1052 HK Equity,False,,2017-02-02,4.636,4.645,4.532,4.541,1848000.0,8939800.0,8047.9109,,1673.162,657.622,4.5689,0.2607,,7.2851,,,7.549,,6.3856,,,
1052 HK Equity,False,,2017-02-03,4.541,4.626,4.541,4.626,293115.0,1429303.0,8198.4955,,1673.162,657.622,4.6047,0.4116,,7.4177,,,7.686,,6.2683,,,
1052 HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-06,4.617,4.674,4.608,4.645,618590.0,3036368.0,8231.9588,,1673.162,657.622,4.6347000000000005,0.4189,0.53,7.4702,2622.0,,7.741,1989.333,6.2428,,,
1052 HK Equity,False,,2017-02-07,4.645,4.683,4.608,4.674,869667.0,4293442.0,8282.1536,,1673.162,657.622,4.6612,0.3951,,7.55,,,7.823,,6.205,,,
1052 HK Equity,False,,2017-02-08,4.693,4.74,4.664,4.74,1809207.0,8978633.0,8399.275,,1673.162,657.622,4.6856,0.386,,7.6456,,,7.922,,6.1185,,,
1052 HK Equity,False,,2017-02-09,4.74,4.768,4.721,4.759,2562956.0,12892160.0,8432.7383,,1673.162,657.622,4.7503,0.4066,,7.6826,,,7.961,,6.0942,,,
1052 HK Equity,False,,2017-02-10,4.7780000000000005,4.8149999999999995,4.749,4.806,425000.0,2151930.0,8516.3964,,1673.162,657.622,4.7808,0.384,,7.7608,,,8.042,,6.0343,,,
1052 HK Equity,False,,2017-02-11,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-12,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-13,4.806,4.91,4.7780000000000005,4.91,1111000.0,5705780.0,8700.4442,,1673.162,657.622,4.8491,0.3438,,7.9291,,,8.216,,6.7214,,,
1052 HK Equity,False,,2017-02-14,5.014,5.146,5.014,5.051,2598108.0,13955010.0,8951.4186,,1673.162,657.622,5.0714,0.2488,,8.1438,,,8.439,,6.533,,,
1052 HK Equity,False,,2017-02-15,5.051,5.155,5.051,5.089,1914165.0,10331070.0,9018.3451,,1673.162,657.622,5.0959,0.2603,,8.1877,,,8.484,,6.4845,,,
1052 HK Equity,False,,2017-02-16,5.117,5.117,5.042,5.08,1567515.0,8419091.0,9001.6135,,1673.162,657.622,5.0712,0.2099,0.58,8.1749,2555.5,,7.741,1938.0,6.4965,,,
1052 HK Equity,False,,2017-02-17,5.051,5.089,5.042,5.089,532865.0,2863396.0,9018.3451,,1673.162,657.622,5.0737,0.3816,,8.1992,,,7.764,,6.4845,,,
1052 HK Equity,False,,2017-02-18,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-19,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-20,5.061,5.099,5.023,5.042,821900.0,4396950.0,8934.687,,1673.162,657.622,5.0511,0.3444,,8.1263,,,7.695,,6.5452,,,
1052 HK Equity,False,,2017-02-21,5.032,5.127,5.032,5.099,1178000.0,6354040.0,9035.0767,,1673.162,657.622,5.0928,0.3295,,8.2331,,,7.796,,6.4725,,,
1052 HK Equity,False,,2017-02-22,5.108,5.174,5.099,5.136,1241000.0,6746150.0,9102.0032,,1673.162,657.622,5.1326,0.2766,,8.2884,,,7.848,,6.4249,,,
1052 HK Equity,False,,2017-02-23,5.155,5.174,5.117,5.174,1104028.0,6007991.0,9168.9297,,1673.162,657.622,5.1381,0.2354,,8.3374,,,7.895,,6.378,,,
1052 HK Equity,False,,2017-02-24,5.174,5.174,5.099,5.127,922000.0,4997980.0,9085.2716,,1673.162,657.622,5.1182,0.3223,,8.2586,,,7.82,,6.4367,,,
1052 HK Equity,False,,2017-02-25,,,,,,,,,,,,,,,,,,,,8.9,,
1052 HK Equity,False,,2017-02-26,,,,,,,,,,,,,,,,,,,,,,
1052 HK Equity,False,,2017-02-27,5.146,5.146,5.099,5.127,311978.0,1689592.0,9085.2716,,1673.162,657.622,5.1138,0.4428,,8.2585,,,7.82,,6.4367,,,
1052 HK Equity,False,,2017-02-28,5.146,5.146,5.089,5.099,294865.0,1595588.0,9035.0767,,1673.162,657.622,5.1093,0.3512,0.59,8.2048,2635.5,,7.6370000000000005,2007.0,6.4725,8.9,,
