Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1111 HK Equity,False,,2016-12-28,14.19,14.345,14.152,14.345,12000.0,176260.0,9670.05,,652.5,158.949,14.2178,1.5221,,,,,,,3.6249000000000002,,,
1111 HK Equity,False,,2016-12-29,14.326,14.481,14.326,14.481,14000.0,208260.0,9761.4,,652.5,158.949,14.3991,1.1475,,,,,,,3.591,,,
1111 HK Equity,False,,2016-12-30,14.519,14.539,14.481,14.5,36000.0,539740.0,9774.45,,652.5,158.949,14.5125,0.3916,,,,,,,3.5862,,,
1111 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,2074.44,,,,,827.731,20.8453
1111 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-03,14.558,14.79,14.558,14.597,47000.0,711500.0,9839.7,,652.5,158.949,14.6533,1.0418,,,,,,,3.5624000000000002,,,
1111 HK Equity,False,,2017-01-04,14.597,14.597,14.578,14.578,17000.0,256080.0,9826.65,,652.5,158.949,14.581,1.3783,,,,,,,3.5671,,,
1111 HK Equity,False,,2017-01-05,14.597,14.79,14.597,14.713,40700.0,617138.0,9918.0,,652.5,158.949,14.6792,0.7923,,,,,,,3.5343,,,
1111 HK Equity,False,,2017-01-06,14.713,14.713,14.693999999999999,14.693999999999999,26500.0,402850.0,9904.95,,652.5,158.949,14.7168,0.4762,,,,,,,3.5389,,,
1111 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-09,14.713,14.752,14.636,14.732,84000.0,1276200.0,9931.05,,652.5,158.949,14.7061,0.5538,,,,,,,3.5296,,,
1111 HK Equity,False,,2017-01-10,14.558,14.693999999999999,14.403,14.693999999999999,58000.0,874680.0,9904.95,,652.5,158.949,14.5976,1.0465,,,,,,,3.5389,,,
1111 HK Equity,False,,2017-01-11,14.693999999999999,14.713,14.655,14.713,56000.0,850380.0,9918.0,,652.5,158.949,14.6989,0.467,,,,,,,3.5343,,,
1111 HK Equity,False,,2017-01-12,14.616,14.636,14.597,14.616,21178.0,319819.8,9852.75,,652.5,158.949,14.6163,0.9542,,,,,,,3.5577,,,
1111 HK Equity,False,,2017-01-13,14.616,14.655,14.597,14.597,68000.0,1027680.0,9839.7,,652.5,158.949,14.6288,0.4324,,,,,,,3.5624000000000002,,,
1111 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-16,14.597,14.655,14.597,14.636,25000.0,377460.0,9865.8,,652.5,158.949,14.6147,0.9731,,,,,,,3.553,,,
1111 HK Equity,False,,2017-01-17,14.636,14.771,14.616,14.771,96000.0,1460320.0,9957.15,,652.5,158.949,14.7243,0.3513,,,,,,,3.5204,,,
1111 HK Equity,False,,2017-01-18,14.81,14.868,14.771,14.849,389913.0,5966116.0,10009.35,,652.5,158.949,14.8111,0.3046,,,,,,,3.502,,,
1111 HK Equity,False,,2017-01-19,14.868,14.868,14.81,14.849,101000.0,1547460.0,10009.35,,652.5,158.949,14.8305,0.2338,,,,,,,3.502,,,
1111 HK Equity,False,,2017-01-20,14.81,14.829,14.771,14.79,96115.0,1469857.0,9970.2,,652.5,158.949,14.8028,0.1669,,,,,,,3.5158,,,
1111 HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
1111 HK Equity,False,,2017-01-23,14.578,14.81,14.578,14.79,99000.0,1512840.0,9970.2,,652.5,158.949,14.7917,0.6818,,,,,,,3.5158,,,
1111 HK Equity,False,,2017-01-24,14.79,14.81,14.752,14.81,15000.0,229200.0,9983.25,,652.5,158.949,14.7905,0.2485,,,,,,,3.5112,,,
1111 HK Equity,False,,2017-01-25,14.79,14.907,14.79,14.81,151300.0,2318832.0,9983.25,,652.5,158.949,14.8352,0.4299,,,,,,,3.5112,,,
1111 HK Equity,False,,2017-01-26,14.868,14.907,14.81,14.868,89000.0,1364860.0,10022.4,,652.5,158.949,14.8442,0.3939,,,,,,,3.4975,,,
1111 HK Equity,False,,2017-01-27,14.868,14.868,14.713,14.829,136269.0,2082361.0,9996.3,,652.5,158.949,14.7916,0.4541,,,,,,,3.5066,,,
1111 HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
