Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1065 HK Equity,False,,2016-12-28,3.656,3.803,3.646,3.803,904200.0,3459278.0,11241.1036,,340.0,325.296,3.75,0.5883,0.3,13.2503,1905.0,,11.405,1089.0,2.172,,,
1065 HK Equity,False,,2016-12-29,3.784,3.862,3.7640000000000002,3.862,1111794.0,4330783.0,11165.297,,340.0,325.296,3.8182,0.7079,,13.4049,,,11.538,,2.1389,,,
1065 HK Equity,False,,2016-12-30,3.833,3.989,3.8129999999999997,3.989,1250000.0,4983540.0,11260.0217,,340.0,325.296,3.9079,0.4808,,11.5495,,,11.902,,2.0705999999999998,,,
1065 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,456.274,,,,,76.413,3.3242
1065 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-03,3.9699999999999998,3.9699999999999998,3.862,3.94,886000.0,3543874.0,11362.4921,,340.0,325.296,3.9207,0.5368,,11.4237,,,11.772,,2.0963,,,
1065 HK Equity,False,,2017-01-04,3.9210000000000003,3.9699999999999998,3.901,3.911,594000.0,2377790.0,11474.3803,,340.0,325.296,3.9238,0.4017,0.29,11.2696,1815.0,,12.014,1042.0,2.1121,4.333,,
1065 HK Equity,False,,2017-01-05,3.9210000000000003,3.96,3.891,3.901,1004000.0,4018850.0,11510.4658,,340.0,325.296,3.9236,0.358,,11.1842,,,11.923,,2.1174,,,
1065 HK Equity,False,,2017-01-06,3.891,3.999,3.872,3.882,2524922.0,10155590.0,11761.1948,,340.0,325.296,3.9423,0.4219,,11.2198,,,11.961,,2.1281,,,
1065 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-09,3.872,3.95,3.862,3.882,1148000.0,4557500.0,11766.657,,340.0,325.296,3.8912,0.4876,,11.227,,,11.968,,2.1281,,,
1065 HK Equity,False,,2017-01-10,3.891,3.94,3.872,3.882,2566000.0,10210160.0,11621.7649,,340.0,325.296,3.9004,0.3631,,11.2126,,,11.953,,2.1281,,,
1065 HK Equity,False,,2017-01-11,3.891,3.891,3.862,3.862,2266000.0,8968622.0,11539.3685,,340.0,325.296,3.8764,0.3029,,11.1455,,,11.881,,2.1389,,,
1065 HK Equity,False,,2017-01-12,3.862,3.999,3.862,3.989,3566476.0,14399850.0,11608.5222,,340.0,325.296,3.9576000000000002,0.3663,,11.457699999999999,,,12.214,,2.0705999999999998,,,
1065 HK Equity,False,,2017-01-13,4.009,4.019,3.94,3.96,1084000.0,4385920.0,11567.5368,,340.0,325.296,3.9661,0.3802,,11.3939,,,12.146,,2.086,,,
1065 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-16,3.911,3.95,3.833,3.852,1714000.0,6775480.0,11145.2913,,340.0,325.296,3.8748,0.3543,,11.0766,,,11.808,,2.1443,,,
1065 HK Equity,False,,2017-01-17,3.852,3.901,3.833,3.891,972000.0,3825990.0,11201.9598,,340.0,325.296,3.8583,0.3413,,11.1126,,,11.846,,2.1227,,,
1065 HK Equity,False,,2017-01-18,3.9210000000000003,3.98,3.9210000000000003,3.96,1423000.0,5747030.0,11214.7976,,340.0,325.296,3.9588,0.2965,,11.307,,,12.054,,2.086,,,
1065 HK Equity,False,,2017-01-19,3.9699999999999998,3.9699999999999998,3.911,3.95,1074000.0,4311080.0,11233.3073,,340.0,325.296,3.9347,0.3684,,11.3385,,,12.087,,2.0911,,,
1065 HK Equity,False,,2017-01-20,3.911,3.999,3.911,3.96,1650000.0,6689940.0,11335.3469,,340.0,325.296,3.9741999999999997,0.4048,,11.3519,,,12.102,,2.086,,,
1065 HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
1065 HK Equity,False,,2017-01-23,3.989,4.058,3.98,4.019,1328000.0,5468680.0,11419.1674,,340.0,325.296,4.0365,0.3593,,11.4758,,,12.234,,2.0554,,,
1065 HK Equity,False,,2017-01-24,4.019,4.078,4.009,4.068,1664000.0,6888780.0,11421.9962,,340.0,325.296,4.0579,0.3402,,11.6322,,,12.4,,2.0307,,,
1065 HK Equity,False,,2017-01-25,4.087,4.087,3.999,4.029,356000.0,1461980.0,11420.6821,,340.0,325.296,4.0254,0.4681,,11.5343,,,12.296,,2.0504,,,
