Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1599 HK Equity,False,,2016-12-28,4.531,4.5600000000000005,4.492,4.5600000000000005,58000.0,269920.0,5956.0955,,387.937,239.502,4.5349,1.2812999999999999,0.427,12.0846,6250.0,,9.608,745.667,2.1642,,,
1599 HK Equity,False,,2016-12-29,4.551,4.58,4.551,4.551,75000.0,352190.0,5943.3688,,387.937,239.502,4.5759,2.1847,,12.0137,,,9.552,,2.1688,,,
1599 HK Equity,False,,2016-12-30,4.551,4.755,4.551,4.677,371901.0,1776000.0,6108.8159,,387.937,239.502,4.6538,1.3476,,11.1922,,,9.804,,2.1101,,,
1599 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,3116.574,,,,,285.118,2.5884
1599 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-03,4.648,4.765,4.59,4.59,184000.0,884800.0,5994.2756,,387.937,239.502,4.6849,1.9106999999999998,,10.9979,,,9.634,,2.1504,,,
1599 HK Equity,False,,2017-01-04,4.619,4.707,4.58,4.58,146000.0,696990.0,5981.5489,,387.937,239.502,4.652,1.7252999999999998,,10.9079,,,9.555,,2.155,,,
1599 HK Equity,False,,2017-01-05,4.59,4.716,4.59,4.599,57000.0,270660.0,6007.0023,,387.937,239.502,4.6271,2.2198,,10.8986,,,9.547,,2.1459,,,
1599 HK Equity,False,,2017-01-06,4.58,4.677,4.541,4.609,88303.0,418328.3,6019.729,,387.937,239.502,4.6163,1.7066,,11.0118,,,9.646,,2.1413,,,
1599 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-09,4.599,4.716,4.599,4.599,371000.0,1777190.0,6007.0023,,387.937,239.502,4.6679,1.3871,,10.9956,,,9.632,,2.1459,,,
1599 HK Equity,False,,2017-01-10,4.58,4.668,4.541,4.58,325000.0,1537780.0,5981.5489,,387.937,239.502,4.6108,0.802,,10.935,,,9.579,,2.155,,,
1599 HK Equity,False,,2017-01-11,4.57,4.833,4.541,4.814,608000.0,2940120.0,6286.9897,,387.937,239.502,4.7122,0.7693,,11.4825,,,10.058,,2.0503,,,
1599 HK Equity,False,,2017-01-12,4.785,4.95,4.775,4.833,627338.0,3118674.0,6312.4431,,387.937,239.502,4.8871,0.653,,11.4734,,,10.05,,2.042,,,
1599 HK Equity,False,,2017-01-13,4.814,4.824,4.755,4.804,231000.0,1141640.0,6274.263,,387.937,239.502,4.8073,1.0229,,11.4248,,,10.008,,2.0545,,,
1599 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-16,4.755,4.775,4.668,4.697,186000.0,898960.0,6134.2693,,387.937,239.502,4.7097,1.3779,,11.1627,,,9.778,,2.1013,,,
1599 HK Equity,False,,2017-01-17,4.687,4.736,4.638,4.648,131000.0,628360.0,6070.6358,,387.937,239.502,4.6741,1.0,,10.9712,,,9.61,,2.1234,,,
1599 HK Equity,False,,2017-01-18,4.833,4.833,4.677,4.736,142000.0,687640.0,6185.1761,,387.937,239.502,4.7188,1.0734,,11.1766,,,9.79,,2.0841,,,
1599 HK Equity,False,,2017-01-19,4.736,4.814,4.736,4.775,636000.0,3121600.0,6236.0829,,387.937,239.502,4.7828,0.6141,,11.328,,,9.923,,2.067,,,
1599 HK Equity,False,,2017-01-20,4.746,4.833,4.746,4.804,792000.0,3887430.0,6274.263,,387.937,239.502,4.783,0.4661,,11.3826,,,9.971,,2.0545,,,
1599 HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-23,4.785,4.892,4.658,4.872,1932000.0,9558573.0,6363.3499,,387.937,239.502,4.8328,0.6068,,11.4995,,,10.073,,2.0257,,,
1599 HK Equity,False,,2017-01-24,4.853,4.96,4.853,4.931,1992000.0,10058090.0,6439.7101,,387.937,239.502,4.9066,0.502,,11.654,,,10.208,,2.0017,,,
1599 HK Equity,False,,2017-01-25,4.9399999999999995,4.9399999999999995,4.8629999999999995,4.882,692000.0,3478195.0,6376.0766,,387.937,239.502,4.8991,0.3488,,11.553,,,10.12,,2.0217,,,
1599 HK Equity,False,,2017-01-26,4.902,4.902,4.814,4.814,445000.0,2221960.0,6286.9897,,387.937,239.502,4.8589,0.6418,,11.4123,,,9.997,,2.0503,,,
1599 HK Equity,False,,2017-01-27,4.7940000000000005,4.7940000000000005,4.755,4.775,65000.0,318200.0,6236.0829,,387.937,239.502,4.7703,1.5809,,11.3603,,,9.951,,2.067,,,
1599 HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
1599 HK Equity,False,,2017-02-01,4.765,4.765,4.755,4.755,40000.0,195440.0,6210.6295,,387.937,239.502,4.7612,1.4064,,11.2414,,,9.847,,2.0755,,,
