Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
595 HK Equity,False,,2016-12-28,0.421,0.421,0.405,0.413,2445600.0,1029860.0,394.2016,,927.533,526.246,0.4096,2.4003,,3.3137,,,,,,,,
595 HK Equity,False,,2016-12-29,0.413,0.421,0.405,0.413,1166400.0,499720.0,394.2016,,927.533,526.246,0.4167,2.7791,,3.3137,,,,,,,,
595 HK Equity,False,,2016-12-30,0.413,0.438,0.413,0.421,3086400.0,1352300.0,401.9311,,927.533,526.246,0.4261,2.2105,,3.3786,,,,,,,,
595 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-03,0.413,0.43,0.413,0.43,535200.0,233980.0,409.6605,,927.533,526.246,0.4252,2.7334,,3.4436,,,,,,,,
595 HK Equity,False,,2017-01-04,0.421,0.438,0.421,0.438,669600.0,294900.0,417.39,,927.533,526.246,0.4283,1.9635,,3.5086,,,,,,,,
595 HK Equity,False,,2017-01-05,0.438,0.446,0.43,0.446,799200.0,361300.0,425.1194,,927.533,526.246,0.4397,2.2806,,3.5735,,,,,,,,
595 HK Equity,False,,2017-01-06,0.446,0.454,0.43,0.438,571200.0,254700.0,417.39,,927.533,526.246,0.4337,2.09,,3.5086,,,,,,,,
595 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-09,0.43,0.43,0.43,0.43,782400.0,345560.0,409.6605,,927.533,526.246,0.4296,2.4405,,3.4436,,,,,,,,
595 HK Equity,False,,2017-01-10,0.421,0.446,0.421,0.438,1183200.0,519720.0,417.39,,927.533,526.246,0.4272,2.7249,,3.5086,,,,,,,,
595 HK Equity,False,,2017-01-11,0.43,0.446,0.43,0.438,727200.0,323780.0,417.39,,927.533,526.246,0.433,2.8013,,3.5086,,,,,,,,
595 HK Equity,False,,2017-01-12,0.438,0.438,0.43,0.43,1692000.0,750580.0,409.6605,,927.533,526.246,0.4315,1.9901,,3.4436,,,,,,,,
595 HK Equity,False,,2017-01-13,0.43,0.43,0.43,0.43,768000.0,339200.0,409.6605,,927.533,526.246,0.4296,2.0323,,3.4436,,,,,,,,
595 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-16,0.43,0.43,0.43,0.43,249600.0,110240.0,409.6605,,927.533,526.246,0.4296,2.2044,,3.4436,,,,,,,,
595 HK Equity,False,,2017-01-17,0.421,0.421,0.421,0.421,976800.0,423280.0,401.9311,,927.533,526.246,0.4215,1.9707,,3.3786,,,,,,,,
595 HK Equity,False,,2017-01-18,0.421,0.438,0.421,0.421,468000.0,204700.0,401.9311,,927.533,526.246,0.4254,2.0389,,3.3786,,,,,,,,
595 HK Equity,False,,2017-01-19,0.421,0.43,0.421,0.421,559200.0,242340.0,401.9311,,927.533,526.246,0.4215,2.2304,,3.3786,,,,,,,,
595 HK Equity,False,,2017-01-20,0.43,0.438,0.421,0.421,770400.0,337340.0,401.9311,,927.533,526.246,0.4259,2.7375,,3.3786,,,,,,,,
595 HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-23,0.421,0.421,0.405,0.405,2695200.0,1141800.0,386.4722,,927.533,526.246,0.412,2.7361,,3.2487,,,,,,,,
595 HK Equity,False,,2017-01-24,0.413,0.413,0.413,0.413,400800.0,170340.0,394.2016,,927.533,526.246,0.4134,1.9538,,3.3137,,,,,,,,
595 HK Equity,False,,2017-01-25,0.413,0.446,0.413,0.421,2971200.0,1308960.0,401.9311,,927.533,526.246,0.4285,3.0186,,3.3786,,,,,,,,
595 HK Equity,False,,2017-01-26,0.421,0.438,0.421,0.43,1022400.0,451540.0,409.6605,,927.533,526.246,0.4295,2.9859999999999998,,3.4436,,,,,,,,
595 HK Equity,False,,2017-01-27,0.43,0.438,0.43,0.438,45600.0,20220.0,417.39,,927.533,526.246,0.4313,,,3.5086,,,,,,,,
595 HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-02-01,0.43,0.43,0.421,0.43,873600.0,381740.0,409.6605,,927.533,526.246,0.425,2.8988,,3.4436,,,,,,,,
595 HK Equity,False,,2017-02-02,0.421,0.421,0.421,0.421,111600.0,48340.0,401.9311,,927.533,526.246,0.4215,,,3.3786,,,,,,,,
595 HK Equity,False,,2017-02-03,0.43,0.438,0.421,0.43,640800.0,285040.0,409.6605,,927.533,526.246,0.4326,3.2401,,3.4436,,,,,,,,
595 HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
595 HK Equity,False,,2017-02-06,0.43,0.43,0.421,0.421,781200.0,339660.0,401.9311,,927.533,526.246,0.4229,2.8984,,3.3786,,,,,,,,
595 HK Equity,False,,2017-02-07,0.421,0.438,0.413,0.43,662400.0,290020.0,409.6605,,927.533,526.246,0.4258,2.8606,,3.4436,,,,,,,,
