Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1173 HK Equity,False,,2016-12-28,0.176,0.176,0.176,0.176,,,434.777,,2388.885,650.842,,4.423,,33.597,,,,,6.2328,,,
1173 HK Equity,False,,2016-12-29,0.176,0.176,0.176,0.176,20000.0,3620.0,432.3881,,2388.885,650.842,0.1755,5.7262,,33.4124,,,,,6.2673,,,
1173 HK Equity,False,,2016-12-30,0.176,0.176,0.176,0.176,,,432.3881,,2388.885,650.842,,6.5891,,33.4124,,,,,6.2673,,,
1173 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-03,0.176,0.176,0.176,0.176,,,432.3881,,2388.885,650.842,,,,33.4124,,,,,6.2673,,,
1173 HK Equity,False,,2017-01-04,0.176,0.182,0.176,0.182,280000.0,51100.0,449.1103,,2388.885,650.842,0.177,7.3497,,34.7046,,,,,6.0339,,,
1173 HK Equity,False,,2017-01-05,0.185,0.185,0.18,0.182,660000.0,124140.0,449.1103,,2388.885,650.842,0.1824,4.0692,,34.7046,,,,,6.0339,,,
1173 HK Equity,False,,2017-01-06,0.182,0.182,0.168,0.173,4700000.0,839620.0,425.2214,,2388.885,650.842,0.1732,1.5029,,32.8586,,,,,6.3729,,,
1173 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-09,0.173,0.173,0.167,0.171,620000.0,108260.0,420.4437,,2388.885,650.842,0.1693,2.7644,,32.4894,,,,,6.4453,,,
1173 HK Equity,False,,2017-01-10,0.171,0.171,0.171,0.171,,,420.4437,,2388.885,650.842,,,,32.4894,,,,,6.4453,,,
1173 HK Equity,False,,2017-01-11,0.172,0.173,0.172,0.173,300000.0,53100.0,425.2214,,2388.885,650.842,0.1716,,,32.8586,,,,,6.3729,,,
1173 HK Equity,False,,2017-01-12,0.175,0.179,0.175,0.178,360000.0,65920.0,439.5548,,2388.885,650.842,0.1776,1.904,,33.9662,,,,,6.1651,,,
1173 HK Equity,False,,2017-01-13,0.179,0.183,0.179,0.183,700000.0,131420.0,451.4992,,2388.885,650.842,0.1821,2.2318,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-16,0.183,0.183,0.183,0.183,,,451.4992,,2388.885,650.842,,,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-17,0.183,0.183,0.183,0.183,,,451.4992,,2388.885,650.842,,,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-18,0.183,0.189,0.183,0.183,1360000.0,259860.0,451.4992,,2388.885,650.842,0.1853,5.6713000000000005,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-19,0.176,0.183,0.176,0.183,40000.0,7280.0,451.4992,,2388.885,650.842,0.1765,5.2666,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-20,0.183,0.183,0.183,0.183,,,451.4992,,2388.885,650.842,,,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-23,0.183,0.183,0.183,0.183,,,451.4992,,2388.885,650.842,,,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-24,0.183,0.183,0.183,0.183,,,451.4992,,2388.885,650.842,,,,34.8892,,,,,6.002,,,
1173 HK Equity,False,,2017-01-25,0.184,0.188,0.184,0.188,41224.0,7891.75,463.4436,,2388.885,650.842,0.1862,8.5873,,35.8121,,,,,5.8473,,,
1173 HK Equity,False,,2017-01-26,0.187,0.188,0.187,0.188,60000.0,11620.0,463.4436,,2388.885,650.842,0.1878,8.7269,,35.8121,,,,,5.8473,,,
1173 HK Equity,False,,2017-01-27,0.188,0.188,0.188,0.188,,,463.4436,,2388.885,650.842,,,,35.8121,,,,,5.8473,,,
1173 HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-02-01,0.178,0.189,0.178,0.189,120000.0,22300.0,465.8325,,2388.885,650.842,0.1802,,,35.9967,,,,,5.8173,,,
1173 HK Equity,False,,2017-02-02,0.189,0.189,0.189,0.189,,,465.8325,,2388.885,650.842,,5.86,,35.9967,,,,,5.8173,,,
1173 HK Equity,False,,2017-02-03,0.184,0.187,0.184,0.186,820000.0,157460.0,458.6658,,2388.885,650.842,0.1862,2.2276,,35.443,,,,,5.9082,,,
1173 HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
1173 HK Equity,False,,2017-02-06,0.186,0.189,0.186,0.186,980000.0,188360.0,458.6658,,2388.885,650.842,0.1864,3.5618,,35.443,,,,,5.9082,,,
