Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
8333 HK Equity,False,,2016-12-28,0.443,0.448,0.438,0.448,485000.0,220775.0,368.0,,800.0,200.0,0.4431,2.1374,,7.7062,,,,,,,,
8333 HK Equity,False,,2016-12-29,0.453,0.462,0.448,0.462,185000.0,85875.0,380.0,,800.0,200.0,0.4518,4.0836,,7.9575,,,,,,,,
8333 HK Equity,False,,2016-12-30,0.457,0.457,0.457,0.457,,,376.0,,800.0,200.0,,,,19.6336,,,,,,,,
8333 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,58.089,,,,,16.918,0.1977
8333 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
8333 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
8333 HK Equity,False,,2017-01-03,0.443,0.457,0.443,0.457,785000.0,358450.0,376.0,,800.0,200.0,0.4444,2.7445,,19.6336,,,,,,,,
8333 HK Equity,False,,2017-01-04,0.443,0.453,0.443,0.453,500000.0,228175.0,372.0,,800.0,200.0,0.4442,2.2576,,19.4247,,,,,,,,
8333 HK Equity,False,,2017-01-05,0.443,0.453,0.438,0.448,395000.0,180050.0,368.0,,800.0,200.0,0.4437,2.6835,,19.2158,,,,,,,,
8333 HK Equity,False,,2017-01-06,0.448,0.448,0.448,0.448,,,368.0,,800.0,200.0,,,,19.2158,,,,,,,,
8333 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
8333 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
8333 HK Equity,False,,2017-01-09,0.438,0.448,0.438,0.448,340000.0,154250.0,368.0,,800.0,200.0,0.4416,3.0293,,19.2158,,,,,,,,
8333 HK Equity,False,,2017-01-10,0.433,0.448,0.438,0.448,185000.0,83300.0,368.0,,800.0,200.0,0.4383,2.2,,19.2158,,,,,,,,
8333 HK Equity,False,,2017-01-11,0.438,0.457,0.438,0.448,155000.0,69850.0,368.0,,800.0,200.0,0.4386,4.3418,,19.2158,,,,,,,,
8333 HK Equity,False,,2017-01-12,0.438,0.457,0.438,0.438,170000.0,76800.0,360.0,,800.0,200.0,0.4397,3.9154,,18.7981,,,,,,,,
8333 HK Equity,False,,2017-01-13,0.443,0.443,0.438,0.443,55000.0,24950.0,364.0,,800.0,200.0,0.4415,2.8297,,19.007,,,,,,,,
8333 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
