Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1044 HK Equity,False,,2016-12-28,52.583,53.882,52.583,53.689,2006957.0,111667200.0,67232.7606,,1204.888,685.598,53.5374,0.1361,3.296,17.8004,22374.077,,14.654,6111.273,3.9843,,,
1044 HK Equity,False,,2016-12-29,53.112,53.834,52.535,53.834,2169008.0,120299600.0,67413.4939,,1204.888,685.598,53.3648,0.1269,,17.7815,,,14.639,,3.9736000000000002,,,
1044 HK Equity,False,,2016-12-30,53.593,54.796,53.593,54.796,1715562.0,97123340.0,68618.3821,,1204.888,685.598,54.4715,0.121,,17.9351,,,14.879,,3.9038,,,
1044 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,9700.056,,,,,1961.781,12.2225
1044 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
1044 HK Equity,False,,2017-01-02,,,,,,,,,,,,,3.273,,22342.538,,,6063.0,,66.85,,
1044 HK Equity,False,,2017-01-03,55.373,55.806,54.844,55.806,2331000.0,134505400.0,69883.5146,,1204.888,685.598,55.5218,0.1043,3.273,18.2917,22342.538,,15.282,6063.0,3.8332,,,
1044 HK Equity,False,,2017-01-04,55.758,56.48,55.758,56.383,2311183.0,135281800.0,70606.4476,,1204.888,681.081,56.3192,0.1164,,18.3687,,,15.346,,3.7939,,,
1044 HK Equity,False,,2017-01-05,56.576,56.576,55.517,55.902,2330230.0,135562000.0,70004.0035,,1204.888,680.481,55.9745,0.1637,,18.1193,,,15.138,,3.8266,,,
1044 HK Equity,False,,2017-01-06,56.48,57.394,55.902,57.153,1833586.0,108656700.0,71570.3581,,1204.888,679.981,57.0319,0.1409,,18.677599999999998,,,15.604,,3.7428,,,
1044 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
1044 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
1044 HK Equity,False,,2017-01-09,57.009,57.442,56.383,57.105,1983487.0,117571500.0,71510.1137,,1204.888,679.481,57.0316,0.1513,,18.6739,,,15.600999999999999,,3.746,,,
1044 HK Equity,False,,2017-01-10,57.345,57.538,57.057,57.538,1406684.0,84050500.0,72052.3134,,1204.888,678.981,57.4918,0.0987,,18.7913,,,15.699,,3.7178,,,
1044 HK Equity,False,,2017-01-11,57.682,57.827,57.49,57.778,1796825.0,107639400.0,72353.5354,,1204.888,678.481,57.6374,0.094,,18.8521,,,15.75,,3.7023,,,
1044 HK Equity,False,,2017-01-12,57.49,58.26,57.153,57.538,1871066.0,111934900.0,72052.3134,,1204.888,677.981,57.5576,0.1239,,18.683,,,15.609,,3.7178,,,
1044 HK Equity,False,,2017-01-13,57.586,57.923,57.49,57.827,2330538.0,139902800.0,72413.7798,,1204.888,677.681,57.7618,0.1237,,18.8109,,,15.715,,3.6992000000000003,,,
1044 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
1044 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
1044 HK Equity,False,,2017-01-16,57.73,58.211,57.538,58.211,2658753.0,159841400.0,72895.7351,,1204.888,677.681,57.8446,0.1286,,18.924,,,15.81,,3.6748,,,
