type_num,size_adv,size_out_pct,days_fm_last,mkt_cap,return_30d_num
-1,0.012124956,0.002628313,0,82943,1
-1,0.003031239,0.000657078,1,82943,1
-1,0.037890488,0.00821348,2,82943,1
-1,0.037890488,0.00821348,10,82943,1
-1,0.00151562,0.000328539,11,82943,1
-1,0.075780976,0.016426959,0,82943,1
-1,0.00151562,0.000328539,4,82943,1
-1,0.003031239,0.000657078,1,82943,1
-1,0.009093717,0.001971235,1,82943,1
-1,0.303123904,0.065707836,0,82943,1
-1,0.012124956,0.002628313,1,82943,1
-1,0.151561952,0.032853918,67,82943,-1
1,7.40E-07,9.97E-08,0,1496940,-1
1,0.000369989,4.99E-05,5,1496940,-1
1,0.000184995,2.49E-05,23,1496940,1
1,0.000184995,2.49E-05,0,1496940,1
1,7.77E-07,1.05E-07,5,1496940,1
-1,0.005111145,0.000688897,15,1496940,1
1,0.010211708,0.001376367,12,1496940,1
1,7.40E-07,9.97E-08,2,1496940,1
1,5.40E-05,7.28E-06,0,1496940,1
1,7.58E-06,1.02E-06,0,1496940,1
1,4.81E-06,6.48E-07,0,1496940,1
-1,9.73E-06,1.31E-06,76,1496940,1
-1,0.006541635,0.000881703,0,1496940,1
-1,0.001501898,0.000202431,76,1496940,-1
-1,0.003206735,0.000432214,0,1496940,-1
-1,0.003264454,0.000439994,0,1496940,-1
1,3.50E-05,4.71E-06,4,1496940,-1
1,3.70E-06,4.99E-07,0,1496940,-1
1,3.70E-06,4.99E-07,0,1496940,-1
-1,0.00282202,0.000380361,10,1496940,-1
-1,0.005762178,0.000776645,0,1496940,-1
-1,0.007651233,0.001031258,0,1496940,-1
-1,0.000859337,0.000115824,1,1496940,-1
-1,0.000466409,6.29E-05,0,1496940,-1
-1,0.000768098,0.000103527,0,1496940,-1
-1,0.000492123,6.63E-05,1,1496940,-1
-1,0.00032178,4.34E-05,0,1496940,-1
-1,0.00081616,0.000110005,0,1496940,-1
1,0.118153904,0.00634598,0,2773,-1
1,0.118153904,0.00634598,0,2773,-1
1,0.078276962,0.004204212,3,2773,-1
1,0.078276962,0.004204212,0,2773,-1
1,0.206769333,0.011105466,12,2773,-1
1,0.206769333,0.011105466,0,2773,-1
1,0.243692428,0.013088585,1,2773,-1
1,0.243692428,0.013088585,0,2773,-1
1,0.420923284,0.022607555,1,2773,-1
1,0.420923284,0.022607555,0,2773,-1
1,0.243692428,0.013088585,1,2773,-1
1,0.243692428,0.013088585,0,2773,-1
1,0.893538901,0.047991477,3,2773,-1
1,0.893538901,0.047991477,0,2773,-1
1,0.30276938,0.016261575,1,2773,-1
1,0.30276938,0.016261575,0,2773,-1
1,0.169846237,0.009122347,1,2773,1
1,0.169846237,0.009122347,0,2773,1
1,0.22892319,0.012295337,41,2773,1
1,0.22892319,0.012295337,0,2773,1
1,1.581785394,0.084956814,1,2773,1
1,1.581785394,0.084956814,0,2773,1
1,0.30276938,0.016261575,1,2773,1
1,0.30276938,0.016261575,0,2773,1
1,0.237784732,0.012771286,1,2773,1
1,0.237784732,0.012771286,0,2773,1
1,0.07384619,0.003966238,3,2773,1
